Country Name,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kiribati,"International migrant stock, total",610,,,,,602,,,,,587,,,,,771,,,,,1639,,,,,2055,,,,,2162,..,..,..,..,2223,,,,,2283,,,,,2487,,,,,2868,,,,,3153,,,
"Korea, Dem. People’s Rep.","International migrant stock, total",25072,,,,,26596,,,,,28568,,,,,30345,,,,,31588,,,,,32859,,,,,34103,..,..,..,..,35143,,,,,36183,,,,,40097,,,,,44010,,,,,48458,,,
"Korea, Rep.","International migrant stock, total",135551,,,,,156147,,,,,179873,,,,,305275,,,,,528810,,,,,559921,,,,,43017,..,..,..,..,123886,,,,,244178,,,,,485546,,,,,919275,,,,,1327324,,,
Kosovo,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,..,..,..,..,..,,,,,..,,,,,..,,,,,..,,,,,..,,,
Kuwait,"International migrant stock, total",90629,,,,,240583,,,,,463366,,,,,664156,,,,,966341,,,,,1240806,,,,,1074391,..,..,..,..,921954,,,,,1127640,,,,,1333327,,,,,1871537,,,,,2866136,,,
Kyrgyz Republic,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,623083,..,..,..,..,510296,,,,,389558,,,,,312897,,,,,231511,,,,,204382,,,
Lao PDR,"International migrant stock, total",19646,,,,,20177,,,,,20688,,,,,21247,,,,,26990,,,,,22901,,,,,22866,..,..,..,..,23526,,,,,21948,,,,,20371,,,,,21185,,,,,22244,,,
Latvia,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,646007,..,..,..,..,538093,,,,,430178,,,,,376725,,,,,313786,,,,,263126,,,
Lebanon,"International migrant stock, total",151443,,,,,174368,,,,,190842,,,,,208567,,,,,241367,,,,,347773,,,,,523693,..,..,..,..,608303,,,,,692913,,,,,756784,,,,,820655,,,,,1997776,,,
Lesotho,"International migrant stock, total",3165,,,,,3633,,,,,4205,,,,,4977,,,,,10655,,,,,17528,,,,,8240,..,..,..,..,7204,,,,,6167,,,,,6290,,,,,6414,,,,,6572,,,
Liberia,"International migrant stock, total",28811,,,,,37614,,,,,49605,,,,,63597,,,,,80706,,,,,82969,,,,,94964,..,..,..,..,208563,,,,,151868,,,,,87188,,,,,99129,,,,,113779,,,
Libya,"International migrant stock, total",48210,,,,,56320,,,,,122167,,,,,223398,,,,,310558,,,,,413947,,,,,457075,..,..,..,..,508041,,,,,567436,,,,,625212,,,,,683998,,,,,771146,,,
Liechtenstein,"International migrant stock, total",4070,,,,,5328,,,,,7012,,,,,8076,,,,,9302,,,,,9888,,,,,10906,..,..,..,..,13311,,,,,15483,,,,,18898,,,,,22342,,,,,23493,,,
Lithuania,"International migrant stock, total",..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,..,,,,,349258,..,..,..,..,273587,,,,,214311,,,,,201209,,,,,160772,,,,,136036,,,
Luxembourg,"International migrant stock, total",46372,,,,,52150,,,,,58648,,,,,70058,,,,,84251,,,,,98186,,,,,113795,..,..,..,..,126106,,,,,139750,,,,,150618,,,,,163142,,,,,249325,,,
"Macao SAR, China","International migrant stock, total",79831,,,,,88227,,,,,97506,,,,,107761,,,,,119095,,,,,154518,,,,,205047,..,..,..,..,224929,,,,,240791,,,,,279308,,,,,318506,,,,,342703,,,
Madagascar,"International migrant stock, total",126298,,,,,98361,,,,,72604,,,,,53591,,,,,50977,,,,,48490,,,,,23917,..,..,..,..,21177,,,,,23541,,,,,26058,,,,,28905,,,,,32075,,,
Malawi,"International migrant stock, total",297710,,,,,295078,,,,,292470,,,,,289884,,,,,287322,,,,,284782,,,,,1127724,..,..,..,..,241624,,,,,232620,,,,,221661,,,,,217722,,,,,215158,,,
Malaysia,"International migrant stock, total",56895,,,,,204679,,,,,736323,,,,,717901,,,,,789130,,,,,908395,,,,,695920,..,..,..,..,937368,,,,,1277223,,,,,1722344,,,,,2406011,,,,,2514243,,,
Maldives,"International migrant stock, total",1703,,,,,1802,,,,,1916,,,,,2055,,,,,2225,,,,,2422,,,,,8689,..,..,..,..,18510,,,,,27092,,,,,45045,,,,,73604,,,,,94086,,,
Mali,"International migrant stock, total",167597,,,,,166053,,,,,164523,,,,,163008,,,,,161506,,,,,160019,,,,,160736,..,..,..,..,176187,,,,,189475,,,,,256797,,,,,336607,,,,,363145,,,
